,station_name,station_id,lat,lng,_merge
353,Van Brunt St & Van Dyke St,4095.10,40.6758329439129,-74.01472628116608,left_only
354,Dean St & Rockaway Ave,4096.08,40.67486,-73.91123,both
355,New York Ave & St Marks Ave,4098.06,40.67514,-73.94716,left_only
356,New York Ave & St Marks Ave,4098.06,40.675173044,-73.947212815,right_only
357,President St & 4 Ave,4101.17,40.676757,-73.983262,both
358,Pacific St & Ralph Ave,4105.01,40.67607,-73.92171,both
359,Franklin Ave & St Marks Ave,4107.05,40.6758324,-73.9561677,both
360,Dean St & Franklin Ave,4107.13,40.67759206937376,-73.955637216568,left_only
361,Dean St & Franklin Ave,4107.13,40.677722096,-73.955636978,right_only
362,3 St & Hoyt St,4110.10,40.6777287,-73.99364123,both
363,Pacific St & Rochester Ave,4113.01,40.67639,-73.92748,both
364,Prospect Pl & Underhill Ave,4116.08,40.6769694,-73.96579,both
365,Clinton St & 4 Place,4119.04,40.6783563,-74.00014502,both
366,Fulton St & Williams Ave,4120.02,40.677188993,-73.900839567,right_only
367,Fulton St & Williams Ave,4120.02,40.67709,-73.9008,left_only
368,Pacific St & Troy Ave,4122.03,40.67686,-73.93607,both
369,Verona Pl & Fulton St,4124.04,40.680538177,-73.947677135,right_only
370,Verona Pl & Fulton St,4124.04,40.6803560840434,-73.9476791024208,left_only
371,7 Ave & Park Pl,4125.07,40.6776147,-73.97324283,both
372,Pioneer St & Richards St,4128.08,40.6777748,-74.0094613,both
373,Herkimer St & Eastern Pkwy,4129.10,40.67738,-73.90829,left_only
374,Herkimer St & Eastern Pkwy,4129.10,40.677370191,-73.9082762,right_only
375,Brooklyn Ave & Dean St,4131.03,40.67669,-73.94437,left_only
376,Brooklyn Ave & Dean St,4131.03,40.67671144,-73.944301367,right_only
377,Berkeley Pl & 6 Ave,4134.06,40.6765304,-73.97846879,both
378,Coffey St & Conover St,4137.10,40.677236,-74.015665,both
379,Coffey St & Ferris St,4137.14,40.67818387977647,-74.0170168876648,left_only
380,Coffey St & Ferris St,4137.14,40.67831707,-74.017348409,right_only
381,Thomas S. Boyland St & Fulton St,4138.04,40.67854,-73.91367,both
382,Pacific St & Nostrand Ave,4140.03,40.6776,-73.94963,both
