station_name,station_id,lat,lng,_merge
Thomas S. Boyland St & Marion St,4253.02,40.6814658848122,-73.91415685415268,left_only
Hancock St & Bedford Ave,4255.05,40.68216564,-73.95399026,both
Degraw St & Hoyt St,4258.07,40.681990442707026,-73.99079024791718,left_only
Patchen Ave & Bainbridge St,4261.03,40.68143,-73.92565,both
Fulton St & Irving Pl,4263.12,40.68186,-73.959432,left_only
Clinton St & Union St,4266.03,40.6831164,-73.99785267,both
Marcus Garvey Blvd & Macon St,4278.03,40.682601,-73.938037,left_only
Bergen St & Flatbush Ave,4281.08,40.680944723477296,-73.97567331790923,both
Rockaway Ave & Bainbridge St,4285.09,40.68319988172761,-73.91166642308235,left_only
Wyckoff St & 3 Ave,4290.06,40.6827549,-73.98258555,left_only
Chauncey St & Howard Ave,4293.05,40.68158,-73.91959,left_only
Degraw St & Smith St,4298.05,40.6829151,-73.99318208,left_only
Macon St & Patchen Ave,4301.04,40.68374,-73.9261,both
MacDonough St & Malcolm X Blvd,4301.07,40.68273,-73.92926,both
President St & Henry St,4307.13,40.6828003,-73.99990419,left_only
Macon St & Lewis Ave,4310.06,40.68282,-73.93488,both
Bushwick Ave & Furman Ave,4317.05,40.68281,-73.90623,both
Halsey St & Tompkins Ave,4319.07,40.6823687,-73.944118,both
Bergen St & 4 Ave,4322.06,40.68256425759694,-73.9798977971077,both
Thomas S. Boyland St & Macon St,4325.03,40.68491,-73.91493,left_only
Putnam Ave & Nostrand Ave,4327.09,40.68402,-73.94977,both
Hoyt St & Warren St,4330.09,40.6843549,-73.98901629,left_only
Halsey St & Ralph Ave,4334.02,40.68494,-73.92299,left_only
Monroe St & Classon Ave,4336.01,40.6845683,-73.95881081,both
Butler St & Court St,4339.01,40.6849894,-73.99440329,both
Hancock St & Malcolm X Blvd,4342.04,40.68487,-73.9293,both
Fulton St & Waverly Ave,4345.11,40.683238654603414,-73.96599590778351,left_only
Carroll St & Columbia St,4348.07,40.6830456,-74.00348559,left_only
S Portland Ave & Hanson Pl,4354.05,40.68539567,-73.97431458,both
Atlantic Ave & Fort Greene Pl,4354.07,40.68382604,-73.97632328,left_only
Moffat St & Bushwick,4357.01,40.68458,-73.90925,left_only
Pacific St & Nevins St,4362.04,40.6853761,-73.98302136,both
Halsey St & Broadway,4366.01,40.68565,-73.91564,left_only
Decatur St & Saratoga Ave,4366.10,40.68332,-73.91711,both
Monroe St & Bedford Ave,4368.05,40.6851443,-73.95380904,both
Warren St & Smith St,4371.01,40.685424009970184,-73.99127773940563,both
Picnic Point,4374.01,40.68512559515415,-74.02535319328308,left_only
Jefferson Ave & Patchen Ave,4375.02,40.68609,-73.92628,both
Cambridge Pl & Gates Ave,4377.04,40.68488,-73.96304,both
Henry St & Degraw St,4380.08,40.6847514,-73.99917254,both
Hancock St & Stuyvesant Ave,4383.06,40.68454,-73.9322,both
Fulton St & Clermont Ave,4386.05,40.68415748,-73.96922273,left_only
Putnam Ave & Throop Ave,4392.04,40.6851532,-73.94111,left_only
Hanson Pl & Ashland Pl,4395.07,40.68506807308177,-73.97790759801863,both
Eldert St & Bushwick Ave,4399.03,40.68652,-73.91321,left_only
Bond St & Bergen St,4404.10,40.6849668,-73.98620772,both
Macon St & Howard Ave,4408.07,40.68452,-73.92011,left_only
Warren St & Court St,4413.08,40.686371,-73.99383324,left_only
Madison St & Malcolm X Blvd,4416.10,40.68713,-73.93008,left_only
Washington Ave & Greene Ave,4419.03,40.68650065,-73.96563307,left_only
