station_name,count_of_starts,trip_duration,est_trip_distance_miles,count_of_end_destinations
Adam Clayton Powell Blvd & W 126 St,2154.0,13.412287217579696,0.9919173630454968,2179
Adam Clayton Powell Blvd & W 130 St,1069.0,13.93956969130028,0.831244153414406,1070
Adam Clayton Powell Blvd & W 132 St,1134.0,12.905526161081717,0.9412610229276897,1151
Adam Clayton Powell Blvd & W 138 St,1660.0,11.324447791164658,0.9923313253012048,1657
Adam Clayton Powell Blvd & W 141 St,1133.0,13.011782877316858,0.9129390997352161,1135
Adam Clayton Powell Blvd & W 151 St,608.0,13.282949561403507,1.0963486842105263,625
Adams St & 11 St,,,,1
Adams St & Prospect St,1113.0,15.20922431865828,1.1504761904761904,1165
Adelphi St & Myrtle Ave,2361.0,11.4216221939856,1.049123252858958,2326
Albany Ave & Carroll St,325.0,15.587076923076923,1.0990461538461538,334
Albany Ave & Fulton St,511.0,14.309360730593607,1.4600391389432485,498
Albany Ave & Park Pl,268.0,13.840422885572139,1.5135820895522387,245
Albany Ave & Winthrop St,188.0,27.057890070921985,1.4840425531914894,190
Albany St & Greenwich St,2009.0,17.683200597312098,1.4736585365853658,2042
Albee Square W & Fulton St,2092.0,14.677015615041427,1.261008604206501,2128
Albemarle Rd & McDonald Ave,356.0,17.147986891385766,1.2835955056179775,358
Alexander Ave & E 134 St,548.0,13.235127737226279,1.1534854014598541,545
Allen St & Hester St,4473.0,13.152720023846785,1.1951754974290187,4500
Allen St & Rivington St,4671.0,13.061221722686078,1.1695718261614214,4719
Allen St & Stanton St,5463.0,12.699521020196475,1.0913728720483251,5509
Amory Ct & Metropolitan Ave,254.0,14.601837270341209,1.375,198
Amsterdam Ave & W 119 St,1701.0,11.901097393689986,1.3102998236331571,1701
Amsterdam Ave & W 125 St,971.0,14.583831101956745,1.060422245108136,974
Amsterdam Ave & W 131 St,709.0,15.066031969910673,1.0042595204513398,715
Amsterdam Ave & W 136 St,762.0,15.603062117235345,1.489724409448819,766
